87.106.83.18 - - [21/Jul/2014:20:07:16 +0100] "GET /solr/collection1/select?wt=ruby&facet.field=%7B%21ex%3Dmetatag.keywords_single%7Dmetatag.keywords&qt=search&rows=10&facet=false&defType=lucene&q=url%3A%28%22http%3A%2F%2Fwww.nhs.uk%2FConditions%2FFibromyalgia%2FPages%2FIntroduction.aspx%2F%22+OR+%22http%3A%2F%2Fwww.themicrocurrentsite.co.uk%2F%22+OR+%22http%3A%2F%2Fwww.fmauk.org%2F%22+OR+%22http%3A%2F%2Fwww.fmauk.org%2Fcontactsmenu%22+OR+%22http%3A%2F%2Fwww.fmauk.org%2Fcontactsmenu%2Fhelplines%22+OR+%22http%3A%2F%2Fwww.fmauk.org%2Fcontactsmenu%2Fsupportgroups%22+OR+%22http%3A%2F%2Fwww.fmauk.org%2Fforums%22+OR+%22http%3A%2F%2Fwww.fmauk.org%2Fhome-mainmenu-1%2Fwhatcanyoudo%2Fdonate-2%22+OR+%22http%3A%2F%2Fwww.fmauk.org%2Flogin%22+OR+%22http%3A%2F%2Fwww.fmauk.org%2Fshop%22%29&fl=%2A&spellcheck=false HTTP/1.1" 200 67294
87.106.83.18 - - [21/Jul/2014:20:07:35 +0100] "GET /solr/collection1/select?wt=ruby&facet.field=%7B%21ex%3Dmetatag.keywords_single%7Dmetatag.keywords&qt=search&rows=10&facet=false&defType=lucene&q=url%3A%28%22http%3A%2F%2Fwww.nhs.uk%2FConditions%2FFibromyalgia%2FPages%2FIntroduction.aspx%2F%22+OR+%22http%3A%2F%2Fwww.fmauk.org%2Fhome-mainmenu-1%2Fwhatcanyoudo%2Fdonate-2%22+OR+%22http%3A%2F%2Fwww.fmauk.org%2Fcontactsmenu%2Fhelplines%22+OR+%22http%3A%2F%2Fwww.fmauk.org%2Fcontactsmenu%2Fsupportgroups%22+OR+%22http%3A%2F%2Fwww.themicrocurrentsite.co.uk%2F%22+OR+%22http%3A%2F%2Fwww.fmauk.org%2Fforums%22+OR+%22http%3A%2F%2Fwww.fmauk.org%2Fshop%22+OR+%22http%3A%2F%2Fwww.fmauk.org%2Flogin%22+OR+%22http%3A%2F%2Fwww.fmauk.org%2F%22+OR+%22http%3A%2F%2Fwww.fmauk.org%2Fcontactsmenu%22%29&fl=%2A&spellcheck=false HTTP/1.1" 200 67295
82.8.212.105 - - [21/Jul/2014:20:10:08 +0100] "GET /solr/? HTTP/1.1" 200 5809
82.8.212.105 - - [21/Jul/2014:20:10:08 +0100] "GET /solr/admin/cores?wt=json&indexInfo=false&_=1405969811691 HTTP/1.1" 200 425
82.8.212.105 - - [21/Jul/2014:20:10:09 +0100] "GET /solr/admin/info/system?wt=json&_=1405969811780 HTTP/1.1" 200 2806
82.8.212.105 - - [21/Jul/2014:20:10:09 +0100] "GET /solr/tpl/index.html?_=1405969811886 HTTP/1.1" 200 6141
82.8.212.105 - - [21/Jul/2014:20:10:09 +0100] "GET /solr/img/ico/server.png HTTP/1.1" 200 423
82.8.212.105 - - [21/Jul/2014:20:10:09 +0100] "GET /solr/img/ico/property.png HTTP/1.1" 200 769
82.8.212.105 - - [21/Jul/2014:20:10:09 +0100] "GET /solr/img/ico/arrow-circle.png HTTP/1.1" 200 802
82.8.212.105 - - [21/Jul/2014:20:10:09 +0100] "GET /solr/img/ico/memory.png HTTP/1.1" 200 349
